c FILE: DSJC125.5
c
c SOURCE: David Johnson (dsj@research.att.com)
c
c DESCRIPTION: Random graph used in the paper
c              "Optimization by Simulated Annealing: An
c               Experimental Evaluation; Part II, Graph
c               Coloring and Number Partitioning" by
c              David S. Johnson, Cecilia R. Aragon, 
c              Lyle A. McGeoch and Catherine Schevon
c              Operations Research, 39, 378-406 (1991)
c
p edge 125 3891
e 2 1
e 3 1
e 4 1
e 4 2
e 4 3
e 5 1
e 5 2
e 5 3
e 6 1
e 6 2
e 6 3
e 6 4
e 7 2
e 7 3
e 7 6
e 8 3
e 8 5
e 9 5
e 10 1
e 10 2
e 10 3
e 10 4
e 10 6
e 10 7
e 10 8
e 11 1
e 11 2
e 11 5
e 11 6
e 11 8
e 11 9
e 12 1
e 12 4
e 12 5
e 12 7
e 12 8
e 12 9
e 12 11
e 13 1
e 13 2
e 13 3
e 13 5
e 13 8
e 13 9
e 13 11
e 13 12
e 14 2
e 14 3
e 14 4
e 14 7
e 14 8
e 14 10
e 15 1
e 15 2
e 15 5
e 15 8
e 15 10
e 15 12
e 15 13
e 16 1
e 16 4
e 16 5
e 16 8
e 16 9
e 16 10
e 16 13
e 17 1
e 17 3
e 17 4
e 17 5
e 17 6
e 17 8
e 17 9
e 17 10
e 17 12
e 17 13
e 17 15
e 17 16
e 18 1
e 18 2
e 18 3
e 18 4
e 18 6
e 18 7
e 18 8
e 18 12
e 18 13
e 18 15
e 19 6
e 19 7
e 19 10
e 19 15
e 19 16
e 19 18
e 20 5
e 20 7
e 20 11
e 20 12
e 20 13
e 20 14
e 20 17
e 20 18
e 20 19
e 21 1
e 21 2
e 21 4
e 21 6
e 21 7
e 21 8
e 21 9
e 21 10
e 21 12
e 21 13
e 21 15
e 21 16
e 21 18
e 22 1
e 22 9
e 22 11
e 22 13
e 22 15
e 22 16
e 22 17
e 22 18
e 22 19
e 22 21
e 23 2
e 23 4
e 23 6
e 23 9
e 23 11
e 23 16
e 23 17
e 23 18
e 23 19
e 23 20
e 23 22
e 24 3
e 24 4
e 24 5
e 24 7
e 24 8
e 24 9
e 24 12
e 24 13
e 24 14
e 24 16
e 24 19
e 24 20
e 24 21
e 24 22
e 24 23
e 25 1
e 25 3
e 25 4
e 25 7
e 25 9
e 25 10
e 25 11
e 25 13
e 25 16
e 25 17
e 25 18
e 25 20
e 25 22
e 25 23
e 25 24
e 26 1
e 26 2
e 26 6
e 26 7
e 26 8
e 26 10
e 26 12
e 26 15
e 26 16
e 26 17
e 26 18
e 26 19
e 26 20
e 26 21
e 26 23
e 26 24
e 26 25
e 27 1
e 27 2
e 27 4
e 27 9
e 27 10
e 27 16
e 27 17
e 27 18
e 27 19
e 27 20
e 27 21
e 27 23
e 27 25
e 28 1
e 28 2
e 28 3
e 28 6
e 28 10
e 28 11
e 28 18
e 28 22
e 28 23
e 28 24
e 28 26
e 29 1
e 29 4
e 29 6
e 29 8
e 29 10
e 29 13
e 29 14
e 29 15
e 29 16
e 29 17
e 29 21
e 29 22
e 29 23
e 29 24
e 29 25
e 29 27
e 29 28
e 30 1
e 30 2
e 30 3
e 30 4
e 30 5
e 30 10
e 30 11
e 30 12
e 30 15
e 30 16
e 30 17
e 30 18
e 30 20
e 30 23
e 30 25
e 30 26
e 30 27
e 30 28
e 31 2
e 31 5
e 31 7
e 31 10
e 31 11
e 31 14
e 31 15
e 31 16
e 31 18
e 31 19
e 31 20
e 31 21
e 31 23
e 31 25
e 31 29
e 32 1
e 32 2
e 32 3
e 32 4
e 32 7
e 32 9
e 32 11
e 32 12
e 32 17
e 32 18
e 32 25
e 32 28
e 32 29
e 33 1
e 33 2
e 33 3
e 33 8
e 33 10
e 33 12
e 33 13
e 33 15
e 33 16
e 33 19
e 33 21
e 33 22
e 33 24
e 33 26
e 33 27
e 33 28
e 33 29
e 33 32
e 34 2
e 34 3
e 34 4
e 34 6
e 34 9
e 34 11
e 34 12
e 34 16
e 34 17
e 34 19
e 34 20
e 34 22
e 34 24
e 34 25
e 34 26
e 34 28
e 34 33
e 35 2
e 35 4
e 35 5
e 35 7
e 35 8
e 35 9
e 35 13
e 35 14
e 35 17
e 35 18
e 35 19
e 35 23
e 35 24
e 35 25
e 35 27
e 35 30
e 35 32
e 35 34
e 36 1
e 36 3
e 36 6
e 36 7
e 36 8
e 36 10
e 36 12
e 36 13
e 36 15
e 36 16
e 36 17
e 36 18
e 36 22
e 36 26
e 36 28
e 36 30
e 36 31
e 36 32
e 36 33
e 36 34
e 37 1
e 37 2
e 37 3
e 37 6
e 37 7
e 37 9
e 37 10
e 37 11
e 37 14
e 37 15
e 37 16
e 37 19
e 37 21
e 37 22
e 37 25
e 37 30
e 37 31
e 37 32
e 37 33
e 37 36
e 38 1
e 38 6
e 38 7
e 38 8
e 38 9
e 38 10
e 38 14
e 38 16
e 38 19
e 38 21
e 38 22
e 38 23
e 38 24
e 38 26
e 38 28
e 38 29
e 38 30
e 38 31
e 38 32
e 38 35
e 39 2
e 39 4
e 39 7
e 39 12
e 39 13
e 39 14
e 39 16
e 39 17
e 39 18
e 39 19
e 39 25
e 39 27
e 39 28
e 39 35
e 40 1
e 40 2
e 40 3
e 40 4
e 40 7
e 40 9
e 40 10
e 40 11
e 40 14
e 40 19
e 40 21
e 40 25
e 40 26
e 40 27
e 40 29
e 40 33
e 40 37
e 40 38
e 41 3
e 41 4
e 41 5
e 41 10
e 41 11
e 41 12
e 41 13
e 41 15
e 41 19
e 41 20
e 41 21
e 41 22
e 41 24
e 41 26
e 41 30
e 41 31
e 41 33
e 41 35
e 41 40
e 42 2
e 42 3
e 42 6
e 42 14
e 42 16
e 42 20
e 42 24
e 42 25
e 42 26
e 42 28
e 42 33
e 42 34
e 42 36
e 42 38
e 42 40
e 43 3
e 43 4
e 43 7
e 43 8
e 43 11
e 43 12
e 43 13
e 43 14
e 43 15
e 43 17
e 43 18
e 43 20
e 43 23
e 43 24
e 43 25
e 43 26
e 43 31
e 43 32
e 43 33
e 43 37
